dateissue,Value
13921228,10000.00
13930105,10033.60
13930106,9998.30
13930109,9984.40
13930110,10055.50
13930111,10141.00
13930116,10160.20
13930117,10080.10
13930118,10049.80
13930119,10120.00
13930120,10070.70
13930123,9986.70
13930124,9858.00
13930125,9756.40
13930126,9705.10
13930127,9749.50
13930130,9661.70
13930131,9721.40
13930201,9798.50
13930202,9816.50
13930203,9807.50
13930206,9968.20
13930207,10038.40
13930208,9968.20
13930209,9871.50
13930210,9865.20
13930213,9828.10
13930214,9746.00
13930215,9781.60
13930216,9765.20
13930217,9751.40
13930220,9732.70
13930221,9714.30
13930222,9742.00
13930224,9755.10
13930227,9648.80
13930228,9691.70
13930229,9694.00
13930230,9726.00
13930231,9819.50
13930303,9842.10
13930304,9792.00
13930305,9794.50
13930307,9795.10
13930310,9773.80
13930311,9655.80
13930312,9647.60
13930313,9702.70
13930317,9718.10
13930318,9703.10
13930319,9695.60
13930320,9636.10
13930321,9591.00
13930324,9476.80
13930325,9377.90
13930326,9388.70
13930327,9360.00
13930328,9417.70
13930331,9487.10
13930401,9527.20
13930402,9466.50
13930403,9398.70
13930404,9357.20
13930407,9271.00
13930408,9185.60
13930409,9099.30
13930410,9127.40
13930411,9217.00
13930414,9349.30
13930415,9334.10
13930416,9326.60
13930417,9507.20
13930418,9528.70
13930421,9504.20
13930422,9503.20
13930423,9498.20
13930424,9500.20
13930425,9549.30
13930429,9542.60
13930430,9599.20
13930431,9684.00
13930501,9743.00
13930504,9719.20
13930505,9732.20
13930506,9788.20
13930511,9760.00
13930512,9705.70
13930513,9723.70
13930514,9695.40
13930515,9701.10
13930518,9690.30
13930519,9670.00
13930520,9742.00
13930521,9741.80
13930522,9771.30
13930525,9756.70
13930526,9739.10
13930527,9778.40
13930528,9811.20
13930529,9845.20
13930601,9871.80
13930602,9864.10
13930603,9904.40
13930604,9967.10
13930605,9993.90
13930608,9927.60
13930609,9917.70
13930610,9926.00
13930611,9957.90
13930612,9967.70
13930615,9912.90
13930616,9863.80
13930617,9907.10
13930618,9897.80
13930619,9867.10
13930622,9780.60
13930623,9769.00
13930624,9818.10
13930625,9818.90
13930626,9798.40
13930629,9811.50
13930630,9889.60
13930631,9936.80
13930701,9992.70
13930702,10053.00
13930705,10023.60
13930706,10063.00
13930707,10093.00
13930708,10145.90
13930709,10155.30
13930712,10172.30
13930714,10216.50
13930715,10213.20
13930716,10243.20
13930719,10305.30
13930720,10330.10
13930722,10412.50
13930723,10446.30
13930726,10467.00
13930727,10564.90
13930728,10793.70
13930729,10779.20
13930730,10731.10
13930803,10736.50
13930804,10695.70
13930805,10745.30
13930806,10762.20
13930807,10878.20
13930810,11023.50
13930811,11041.70
13930814,11162.00
13930817,11214.10
13930818,11271.50
13930819,11318.10
13930820,11399.70
13930821,11473.60
13930824,11405.80
13930825,11456.80
13930826,11524.80
13930827,11460.50
13930828,11427.60
13930901,11418.10
13930902,11502.50
13930903,11624.50
13930904,11438.20
13930905,11403.40
13930908,11418.60
13930909,11250.70
13930910,11157.20
13930911,11150.80
13930912,11086.20
13930915,11017.90
13930916,10904.30
13930917,10935.80
13930918,10928.80
13930919,10877.00
13930923,10756.40
13930924,10616.10
13930925,10629.40
13930926,10561.40
13930929,10596.50
13931001,10740.70
13931003,10754.10
13931006,10685.40
13931007,10738.30
13931008,10709.90
13931009,10717.80
13931010,10679.90
13931013,10661.80
13931014,10659.90
13931015,10560.80
13931016,10400.20
13931017,10308.70
13931020,10169.90
13931021,10034.20
13931022,10150.40
13931023,10132.70
13931024,10093.20
13931027,10128.40
13931028,10045.00
13931029,9952.10
13931030,9908.40
13931101,9803.00
13931104,9742.80
13931105,9747.40
13931106,9704.60
13931107,9706.90
13931108,9784.10
13931111,9903.90
13931112,9915.20
13931113,9922.50
13931114,9958.40
13931115,10036.60
13931118,10088.60
13931119,10028.10
13931120,9923.80
13931121,9877.20
13931125,9912.40
13931126,9894.50
13931127,9932.30
13931128,9941.50
13931129,9934.20
13931202,9965.40
13931203,9936.30
13931204,9908.00
13931205,9893.40
13931206,9815.10
13931209,9794.40
13931210,9811.40
13931211,9825.70
13931212,9806.20
13931213,9828.90
13931216,9818.80
13931217,9799.70
13931218,9791.70
13931219,9729.50
13931220,9730.10
13931223,9810.90
13931224,9878.60
13931225,9855.60
13931226,9743.80
13931227,9861.50
13940105,9884.40
13940108,9980.20
13940109,10146.80
13940110,10078.60
13940111,10081.20
13940115,10297.00
13940116,10559.70
13940117,10527.30
13940118,10434.60
13940119,10452.60
13940122,10371.00
13940123,10238.00
13940124,10186.20
13940125,10227.40
13940126,10227.70
13940129,10205.70
13940130,10218.40
13940131,10169.20
13940201,10154.40
13940202,10159.90
13940205,10156.70
13940206,10154.30
13940207,10095.90
13940208,10094.20
13940209,10084.20
13940213,10030.10
13940214,9943.80
13940215,9921.30
13940216,9925.00
13940219,9874.80
13940220,9803.30
13940221,9862.80
13940222,9897.50
13940223,9901.20
13940227,9873.70
13940228,9873.00
13940229,9906.60
13940230,9924.30
13940302,9886.80
13940303,9889.50
13940304,9894.70
13940305,9878.00
13940306,9861.00
13940309,9854.70
13940310,9854.50
13940311,9871.20
13940312,9907.60
13940316,9908.80
13940317,9863.60
13940318,9777.10
13940319,9676.10
13940320,9653.80
13940323,9705.90
13940324,9721.10
13940325,9671.60
13940326,9688.00
13940327,9802.90
13940330,9774.30
13940331,9766.10
13940401,9827.30
13940402,9894.80
13940403,9892.10
13940406,9884.50
13940407,9815.30
13940408,9826.70
13940409,9923.60
13940410,9915.30
13940413,10015.50
13940414,10022.40
13940415,10086.80
13940416,10207.30
13940420,10228.10
13940421,10340.20
13940422,10552.80
13940423,10606.10
13940424,10509.50
13940428,10509.50
13940429,10427.60
13940430,10416.80
13940431,10353.80
13940503,10252.30
13940504,10241.70
13940505,10182.90
13940506,10207.10
13940507,10248.60
13940510,10259.50
13940511,10228.30
13940512,10229.10
13940513,10216.80
13940514,10230.30
13940517,10177.30
13940518,10172.60
13940519,10166.90
13940521,10114.60
13940524,10075.90
13940525,10070.20
13940526,10040.60
13940527,9991.30
13940528,9984.60
13940531,9991.50
13940601,9944.10
13940602,9919.90
13940603,9836.60
13940604,9816.60
13940607,9857.40
13940608,9857.10
13940609,9840.90
13940610,9846.80
13940611,9851.50
13940614,9904.30
13940615,9906.10
13940616,9909.80
13940617,9927.60
13940618,9921.90
13940621,9892.90
13940622,9813.40
13940623,9809.70
13940624,9748.00
13940625,9729.30
13940628,9715.20
13940629,9599.90
13940630,9518.20
13940631,9549.00
13940701,9585.70
13940704,9577.40
13940705,9583.40
13940706,9605.40
13940707,9604.80
13940708,9573.80
13940711,9504.70
13940712,9475.60
13940713,9489.80
13940714,9451.30
13940715,9466.80
13940718,9457.00
13940719,9456.00
13940720,9495.00
13940721,9545.80
13940722,9625.70
13940725,9739.80
