dateissue,Value
13870914,9248.90
13870915,9248.90
13870916,9178.30
13870917,9130.50
13870918,9089.20
13870920,9023.70
13870923,8973.30
13870924,8907.00
13870925,8890.70
13870926,8869.00
13870930,8857.10
13871001,8851.60
13871002,8832.20
13871003,8803.40
13871004,8795.70
13871007,8786.70
13871008,8757.80
13871009,8726.90
13871010,8695.00
13871011,8656.30
13871014,8641.80
13871015,8619.60
13871016,8596.40
13871021,8575.70
13871022,8542.00
13871023,8519.00
13871024,8463.70
13871025,8456.90
13871028,8458.10
13871029,8459.90
13871030,8467.40
13871101,8496.90
13871102,8514.30
13871105,8553.70
13871106,8519.10
13871107,8507.30
13871108,8509.10
13871109,8505.60
13871112,8508.30
13871113,8491.80
13871114,8496.20
13871115,8483.40
13871116,8466.40
13871119,8451.30
13871120,8438.00
13871121,8423.70
13871123,8430.00
13871126,8420.00
13871127,8412.70
13871129,8390.20
13871130,8376.60
13871203,8355.90
13871204,8297.00
13871205,8266.20
13871207,8248.90
13871210,8243.20
13871211,8226.80
13871212,8216.10
13871213,8200.90
13871214,8185.30
13871217,8133.50
13871218,8111.20
13871219,8096.00
13871220,8126.50
13871221,8130.40
13871224,8120.30
13871226,7977.10
13871227,7972.30
13871228,7966.50
13880105,7965.60
13880108,7965.80
13880109,7955.40
13880110,7970.30
13880111,7988.70
13880115,8001.60
13880116,8006.00
13880117,8049.00
13880118,8077.90
13880119,8111.10
13880122,8153.50
13880123,8175.90
13880124,8203.60
13880125,8252.40
13880126,8251.60
13880129,8290.40
13880130,8348.00
13880131,8431.20
13880201,8434.90
13880202,8476.40
13880205,8469.10
13880206,8502.60
13880207,8518.10
13880208,8527.80
13880209,8535.00
13880212,8548.30
13880213,8584.60
13880214,8638.30
13880215,8699.50
13880216,8774.20
13880219,8872.40
13880220,8930.40
13880221,8989.50
13880222,8968.30
13880223,8932.10
13880226,8888.00
13880227,8919.40
13880228,8963.80
13880229,8956.30
13880230,9000.80
13880302,9042.10
13880303,9019.50
13880304,8971.10
13880305,8934.60
13880306,8953.70
13880309,9001.30
13880310,9000.60
13880311,9006.30
13880312,9032.30
13880313,9081.70
13880316,9121.30
13880317,9195.10
13880318,9235.50
13880319,9278.50
13880320,9343.30
13880323,9365.40
13880324,9310.30
13880325,9299.00
13880326,9271.10
13880327,9247.20
13880330,9247.70
13880331,9258.40
13880401,9251.80
13880402,9340.00
13880403,9338.60
13880406,9342.60
13880407,9353.70
13880408,9360.10
13880409,9387.60
13880410,9471.00
13880413,9470.40
13880414,9452.70
13880416,9457.90
13880420,9438.50
13880421,9415.80
13880422,9352.80
13880423,9374.00
13880424,9394.60
13880425,9394.60
13880427,9442.20
13880428,9474.50
13880430,9511.10
13880431,9522.20
13880503,9522.90
13880504,9530.30
13880505,9703.70
13880506,9727.10
13880507,9765.60
13880510,9811.20
13880511,9831.20
13880512,9835.00
13880513,9861.10
13880514,9904.40
13880517,9999.00
13880518,10044.00
13880519,10114.20
13880520,10139.40
13880521,10194.00
13880524,10250.80
13880525,10333.20
13880526,10405.40
13880527,10442.50
13880528,10472.40
13880531,10555.40
13880601,10612.20
13880602,10686.10
13880603,10983.60
13880604,11576.90
13880607,11734.40
13880608,11693.50
13880609,11688.30
13880610,11741.00
13880611,11747.20
13880614,11678.50
13880615,11634.50
13880616,11589.70
13880617,11639.00
13880618,11696.50
13880621,11696.50
13880622,11638.40
13880623,11598.70
13880624,11523.60
13880625,11461.10
13880628,11437.00
13880629,11437.00
13880630,11451.80
13880631,11479.80
13880701,11583.00
13880704,11620.40
13880705,11588.20
13880706,11559.10
13880707,11555.00
13880708,11535.80
13880711,11657.30
13880712,11717.30
13880713,11738.20
13880714,11792.80
13880715,11891.10
13880718,11957.90
13880719,11925.40
13880720,11912.30
13880721,11918.30
13880725,11917.80
13880726,11914.10
13880727,11976.40
13880728,12077.30
13880729,12176.30
13880802,12242.80
13880803,12325.80
13880804,12342.60
13880805,12345.10
13880806,12408.40
13880809,12482.40
13880810,12545.00
13880811,12529.50
13880812,12483.60
13880813,12506.00
13880816,12576.90
13880817,12565.90
13880818,12581.50
13880819,12426.10
13880820,12381.40
13880823,12403.10
13880824,12361.70
13880825,12325.40
13880826,12241.90
13880827,12176.40
13880830,12086.70
13880901,12003.00
13880902,11996.30
13880903,12072.60
13880904,12113.40
13880908,12027.60
13880909,11964.90
13880910,11928.90
13880911,11914.60
13880914,11905.00
13880916,11944.50
13880917,11909.60
13880918,11836.30
13880921,11753.10
13880922,11677.40
13880923,11629.10
13880924,11362.50
13880925,11265.30
13880928,11209.60
13880929,11255.70
13880930,11274.90
13881001,11234.60
13881002,11221.30
13881007,11196.90
13881008,11178.50
13881009,11207.50
13881012,11295.20
13881013,11351.10
13881014,11305.10
13881015,11307.40
13881016,11375.40
13881019,11449.60
13881020,11592.30
13881021,11656.80
13881022,11646.20
13881023,11599.90
13881026,11614.90
13881027,11620.70
13881028,11584.00
13881029,11569.20
13881030,11569.20
13881103,11617.80
13881104,11684.90
13881105,11705.10
13881106,11752.50
13881107,11802.90
13881110,11750.10
13881111,11724.70
13881112,11709.60
13881113,11721.30
13881114,11751.70
13881117,11715.50
13881118,11686.30
13881119,11666.80
13881120,11660.70
13881121,11694.10
13881125,11760.00
13881127,11789.70
13881128,11774.20
13881201,11819.00
13881202,11929.00
13881203,12008.60
13881204,12010.20
13881205,11993.20
13881208,11963.50
13881209,12009.00
13881210,12048.90
13881211,12111.10
13881212,12133.40
13881215,12221.30
13881216,12248.90
13881217,12307.20
13881218,12429.10
13881219,12446.80
13881222,12440.50
13881223,12549.10
13881224,12533.60
13881225,12499.70
13881226,12536.70
13890107,12613.90
13890108,12732.10
13890109,12823.90
13890110,12867.00
13890111,12945.00
13890114,13135.70
13890115,13320.10
13890116,13317.00
13890117,13476.50
13890118,13681.20
13890121,13754.00
13890122,13802.60
13890123,13832.80
13890124,13904.00
13890125,13903.40
13890128,13815.70
13890129,13935.00
13890130,14138.30
13890131,14185.70
13890201,14129.20
13890204,14079.90
13890205,14053.30
13890206,14129.00
13890207,14139.40
13890208,14012.50
13890211,14136.70
13890212,14085.90
13890213,14012.60
13890214,14036.70
13890215,13944.80
13890218,13920.50
13890219,14014.30
13890220,14099.50
13890221,14131.70
13890222,14105.30
13890225,14096.10
13890226,14138.80
13890228,14156.70
13890229,14155.60
13890301,14117.20
13890302,14080.50
13890303,14115.50
13890304,14184.30
13890305,14153.80
13890308,14119.90
13890309,14087.60
13890310,14038.30
13890311,14109.00
13890312,14182.40
13890316,14164.70
13890317,14135.30
13890318,14148.80
13890319,14055.10
13890322,14114.90
13890323,14180.30
13890324,14288.50
13890325,14394.20
13890326,14372.00
13890329,14340.60
13890330,14280.90
13890331,14257.00
13890401,14350.60
13890402,14489.40
13890406,14503.00
13890407,14500.90
