dateissue,Value
13880408,1145.30
13880409,1147.50
13880410,1154.90
13880413,1154.10
13880414,1152.00
13880416,1152.60
13880420,1150.70
13880421,1146.40
13880422,1140.30
13880423,1141.80
13880424,1143.20
13880425,1143.20
13880427,1147.70
13880428,1155.10
13880430,1157.30
13880431,1158.80
13880503,1158.50
13880504,1156.60
13880505,1164.60
13880506,1165.00
13880507,1169.00
13880510,1176.00
13880511,1179.90
13880512,1182.20
13880513,1184.90
13880514,1190.70
13880517,1216.90
13880518,1220.70
13880519,1228.20
13880520,1231.30
13880521,1236.90
13880524,1244.40
13880525,1253.10
13880526,1261.50
13880527,1267.60
13880528,1273.80
13880531,1285.10
13880601,1292.60
13880602,13030.10
13880603,13439.90
13880604,13867.30
13880607,14081.70
13880608,14025.60
13880609,14012.80
13880610,14095.00
13880611,14101.50
13880614,14030.60
13880615,13963.80
13880616,13908.60
13880617,14003.30
13880618,14089.00
13880621,14089.00
13880622,14045.90
13880623,14048.70
13880624,13994.50
13880625,13944.60
13880628,13949.20
13880629,13949.20
13880630,13982.90
13880631,14072.10
13880701,14233.80
13880704,14287.00
13880705,14248.90
13880706,14183.50
13880707,14217.20
13880708,14234.80
13880711,14398.90
13880712,14497.40
13880713,14540.60
13880714,14597.10
13880715,14731.10
13880718,14815.80
13880719,14819.40
13880720,14805.10
13880721,14790.50
13880725,14755.00
13880726,14738.60
13880727,14850.70
13880728,14985.70
13880729,15128.10
13880802,15238.40
13880803,15317.10
13880804,15309.50
13880805,15346.60
13880806,15411.40
13880809,15475.90
13880810,15538.80
13880811,15509.20
13880812,15418.30
13880813,15528.70
13880816,15624.70
13880817,15557.70
13880818,15543.80
13880819,15365.10
13880820,15372.80
13880823,15431.00
13880824,15406.90
13880825,15333.20
13880826,15269.80
13880827,15187.40
13880830,15062.90
13880901,14945.60
13880902,14947.00
13880903,15060.20
13880904,15107.00
13880908,14968.10
13880909,14849.90
13880910,14793.60
13880911,14800.20
13880914,14802.90
13880916,14868.10
13880917,14822.20
13880918,14702.20
13880921,14565.00
13880922,14450.00
13880923,14390.40
13880924,14000.30
13880925,13847.80
13880928,13783.20
13880929,13875.50
13880930,13940.60
13881001,13901.30
13881002,13884.30
13881007,13850.00
13881008,13820.30
13881009,13867.40
13881012,14034.20
13881013,14136.10
13881014,14075.00
13881015,14103.90
13881016,14204.10
13881019,14319.50
13881020,14476.30
13881021,14544.40
13881022,14499.40
13881023,14444.60
13881026,14478.30
13881027,14497.50
13881028,14457.70
13881029,14444.00
13881030,14447.10
13881103,14494.80
13881104,14565.80
13881105,14581.20
13881106,14621.30
13881107,14667.40
13881110,14587.40
13881111,14571.30
13881112,14580.70
13881113,14627.60
13881114,14672.30
